x,y
-5199.0,-2055.0
-5048.0,-2032.0
-4874.0,-1978.0
-4725.0,-1923.0
-4443.0,-1801.0
-4233.0,-1692.0
-4087.0,-1604.0
-3831.0,-1430.0
-3592.0,-1239.0
-3441.0,-1101.0
-3291.0,-961.0
-3105.0,-786.0
-2957.0,-644.0
-2824.0,-511.0
-2693.0,-378.0
-2514.0,-199.0
-2424.0,-109.0
-2336.0,-23.0
-2281.0,27.0
-2166.0,118.0
-2109.0,154.0
-2021.0,195.0
-1897.0,230.0
-1811.0,235.0
-1728.0,218.0
-1653.0,173.0
-1587.0,115.0
-1522.0,65.0
-1477.0,42.0
-1370.0,22.0
-1312.0,25.0
-1231.0,45.0
-1197.0,59.0
-1160.0,80.0
-1114.0,113.0
-1056.0,165.0
-990.0,229.0
-943.0,273.0
-873.0,331.0
-802.0,380.0
-721.0,424.0
-655.0,450.0
-592.0,466.0
-494.0,482.0
-391.0,490.0
-174.0,483.0
26.0,450.0
220.0,394.0
314.0,361.0
430.0,314.0
534.0,264.0
671.0,185.0
923.0,3.0
1006.0,-71.0
1118.0,-182.0
1317.0,-393.0
1468.0,-572.0
1507.0,-618.0
1674.0,-813.0
